"Week","Date","Away","Home","CBSGameID","Slug"
"1","20260829","UNC","TCU","50027398","NCAAF_20260829_UNC@TCU"
"1","20260829","NCST","UVA","50027399","NCAAF_20260829_NCST@UVA"
"1","20260829","SACST","EMICH","50027404","NCAAF_20260829_SACST@EMICH"
"1","20260829","NMEXST","FSU","50027406","NCAAF_20260829_NMEXST@FSU"
"1","20260829","JAXST","NDST","50027424","NCAAF_20260829_JAXST@NDST"
"1","20260829","HAWAII","STNFRD","50027437","NCAAF_20260829_HAWAII@STNFRD"
"1","20260829","MEMP","UNLV","50027438","NCAAF_20260829_MEMP@UNLV"
"1","20260829","SJST","USC","50027439","NCAAF_20260829_SJST@USC"
"1","20260903","ALBANY","BUFF","50027444","NCAAF_20260903_ALBANY@BUFF"
"1","20260903","MERMAK","DE","50027445","NCAAF_20260903_MERMAK@DE"
"1","20260903","COLO","GATECH","50027446","NCAAF_20260903_COLO@GATECH"
"1","20260903","WESTGA","KENSAW","50027447","NCAAF_20260903_WESTGA@KENSAW"
"1","20260903","UMASS","RUT","50027449","NCAAF_20260903_UMASS@RUT"
"1","20260903","BTHN","UCF","50027450","NCAAF_20260903_BTHN@UCF"
"1","20260903","AKRON","WAKE","50027451","NCAAF_20260903_AKRON@WAKE"
"1","20260903","EIL","MINN","50027452","NCAAF_20260903_EIL@MINN"
"1","20260903","IDAHO","UTAH","50027454","NCAAF_20260903_IDAHO@UTAH"
"1","20260903","ARPB","MIZZOU","50027457","NCAAF_20260903_ARPB@MIZZOU"
"1","20260904","SJST","EMICH","50027458","NCAAF_20260904_SJST@EMICH"
"1","20260904","NCAT","GAST","50027459","NCAAF_20260904_NCAT@GAST"
"1","20260904","LIUPOST","KANSAS","50027461","NCAAF_20260904_LIUPOST@KANSAS"
"1","20260904","MIAMI","STNFRD","50027462","NCAAF_20260904_MIAMI@STNFRD"
"1","20260905","ME","APLST","50027463","NCAAF_20260905_ME@APLST"
"1","20260905","BRY","ARMY","50027464","NCAAF_20260905_BRY@ARMY"
"1","20260905","BAYLOR","AUBURN","50027465","NCAAF_20260905_BAYLOR@AUBURN"
"1","20260905","TRLST","BGREEN","50027466","NCAAF_20260905_TRLST@BGREEN"
"1","20260905","CIT","CHARLO","50027468","NCAAF_20260905_CIT@CHARLO"
"1","20260905","BC","CINCY","50027470","NCAAF_20260905_BC@CINCY"
"1","20260905","LAF","UCONN","50027472","NCAAF_20260905_LAF@UCONN"
"1","20260905","TULANE","DUKE","50027474","NCAAF_20260905_TULANE@DUKE"
"1","20260905","FAU","FLA","50027476","NCAAF_20260905_FAU@FLA"
"1","20260905","TNST","UGA","50027478","NCAAF_20260905_TNST@UGA"
"1","20260905","CHARSO","GAS","50027479","NCAAF_20260905_CHARSO@GAS"
"1","20260905","NTEXAS","IND","50027481","NCAAF_20260905_NTEXAS@IND"
"1","20260905","LIB","JMAD","50027482","NCAAF_20260905_LIB@JMAD"
