"Week","Date","Away","Home","CBSGameID","Slug"
"P1","20260806","CAR","ARI","50029158","NFL_20260806_CAR@ARI"
"P2","20260813","DET","CIN","50029459","NFL_20260813_DET@CIN"
"P2","20260813","GB","PIT","50029460","NFL_20260813_GB@PIT"
"P2","20260813","IND","NE","50029461","NFL_20260813_IND@NE"
"P2","20260813","TEN","SF","50029478","NFL_20260813_TEN@SF"
"P2","20260813","LAC","HOU","50029479","NFL_20260813_LAC@HOU"
"P2","20260813","ARI","LV","50029577","NFL_20260813_ARI@LV"
"P2","20260814","MIA","WAS","50029462","NFL_20260814_MIA@WAS"
"P2","20260814","DEN","ATL","50029480","NFL_20260814_DEN@ATL"
"P2","20260814","TB","NYJ","50029481","NFL_20260814_TB@NYJ"
"P2","20260815","CAR","BUF","50029463","NFL_20260815_CAR@BUF"
"P2","20260815","PHI","BAL","50029464","NFL_20260815_PHI@BAL"
"P2","20260815","MIN","NYG","50029482","NFL_20260815_MIN@NYG"
"P2","20260815","LAR","KC","50029483","NFL_20260815_LAR@KC"
"P2","20260815","JAC","NO","50029484","NFL_20260815_JAC@NO"
"P2","20260815","DAL","SEA","50029485","NFL_20260815_DAL@SEA"
"P2","20260815","CLE","CHI","50029641","NFL_20260815_CLE@CHI"
"P3","20260820","LV","HOU","50029465","NFL_20260820_LV@HOU"
"P3","20260820","SF","LAC","50029486","NFL_20260820_SF@LAC"
"P3","20260821","NYJ","PIT","50029466","NFL_20260821_NYJ@PIT"
"P3","20260821","CAR","JAC","50029487","NFL_20260821_CAR@JAC"
"P3","20260821","GB","DEN","50029560","NFL_20260821_GB@DEN"
"P3","20260822","BUF","CLE","50029467","NFL_20260822_BUF@CLE"
"P3","20260822","BAL","MIN","50029468","NFL_20260822_BAL@MIN"
"P3","20260822","NYG","MIA","50029469","NFL_20260822_NYG@MIA"
"P3","20260822","CHI","CIN","50029470","NFL_20260822_CHI@CIN"
"P3","20260822","PHI","NE","50029471","NFL_20260822_PHI@NE"
"P3","20260822","ATL","IND","50029488","NFL_20260822_ATL@IND"
"P3","20260822","NO","LAR","50029489","NFL_20260822_NO@LAR"
"P3","20260822","KC","TB","50029490","NFL_20260822_KC@TB"
"P3","20260822","WAS","DET","50029561","NFL_20260822_WAS@DET"
"P3","20260822","DAL","ARI","50029594","NFL_20260822_DAL@ARI"
"P3","20260823","SEA","TEN","50029472","NFL_20260823_SEA@TEN"
"P4","20260827","PIT","BUF","50029473","NFL_20260827_PIT@BUF"
"P4","20260827","NE","CLE","50029474","NFL_20260827_NE@CLE"
"P4","20260827","SF","LV","50029491","NFL_20260827_SF@LV"
"P4","20260827","LAR","LAC","50029492","NFL_20260827_LAR@LAC"
"P4","20260828","WAS","BAL","50029475","NFL_20260828_WAS@BAL"
"P4","20260828","ATL","MIA","50029476","NFL_20260828_ATL@MIA"
"P4","20260828","CIN","PHI","50029477","NFL_20260828_CIN@PHI"
"P4","20260828","HOU","CAR","50029493","NFL_20260828_HOU@CAR"
"P4","20260828","TB","JAC","50029494","NFL_20260828_TB@JAC"
"P4","20260828","NYG","NYJ","50029495","NFL_20260828_NYG@NYJ"
"P4","20260828","SEA","KC","50029496","NFL_20260828_SEA@KC"
"P4","20260828","MIN","DEN","50029562","NFL_20260828_MIN@DEN"
"P4","20260828","ARI","GB","50029595","NFL_20260828_ARI@GB"
"P4","20260828","NO","DAL","50029600","NFL_20260828_NO@DAL"
"P4","20260829","DET","IND","50029497","NFL_20260829_DET@IND"
"P4","20260829","CHI","TEN","50029640","NFL_20260829_CHI@TEN"
"1","20260909","NE","SEA","50029202","NFL_20260909_NE@SEA"
"1","20260910","SF","LAR","50029162","NFL_20260910_SF@LAR"
"1","20260913","DAL","NYG","50029159","NFL_20260913_DAL@NYG"
"1","20260913","TB","CIN","50029203","NFL_20260913_TB@CIN"
"1","20260913","BUF","HOU","50029204","NFL_20260913_BUF@HOU"
"1","20260913","BAL","IND","50029205","NFL_20260913_BAL@IND"
"1","20260913","GB","MIN","50029206","NFL_20260913_GB@MIN"
"1","20260913","WAS","PHI","50029207","NFL_20260913_WAS@PHI"
"1","20260913","CHI","CAR","50029214","NFL_20260913_CHI@CAR"
"1","20260913","NO","DET","50029215","NFL_20260913_NO@DET"
"1","20260913","CLE","JAC","50029216","NFL_20260913_CLE@JAC"
"1","20260913","ATL","PIT","50029217","NFL_20260913_ATL@PIT"
"1","20260913","NYJ","TEN","50029218","NFL_20260913_NYJ@TEN"
"1","20260913","MIA","LV","50029219","NFL_20260913_MIA@LV"
"1","20260913","ARI","LAC","50029220","NFL_20260913_ARI@LAC"
"1","20260914","DEN","KC","50029172","NFL_20260914_DEN@KC"
"2","20260917","DET","BUF","50029170","NFL_20260917_DET@BUF"
"2","20260920","CIN","HOU","50029208","NFL_20260920_CIN@HOU"
"2","20260920","PIT","NE","50029209","NFL_20260920_PIT@NE"
"2","20260920","CLE","TB","50029210","NFL_20260920_CLE@TB"
"2","20260920","WAS","DAL","50029211","NFL_20260920_WAS@DAL"
"2","20260920","CAR","ATL","50029221","NFL_20260920_CAR@ATL"
"2","20260920","NO","BAL","50029222","NFL_20260920_NO@BAL"
"2","20260920","MIN","CHI","50029223","NFL_20260920_MIN@CHI"
"2","20260920","GB","NYJ","50029224","NFL_20260920_GB@NYJ"
"2","20260920","PHI","TEN","50029225","NFL_20260920_PHI@TEN"
"2","20260920","JAC","DEN","50029226","NFL_20260920_JAC@DEN"
"2","20260920","LV","LAC","50029227","NFL_20260920_LV@LAC"
"2","20260920","SEA","ARI","50029228","NFL_20260920_SEA@ARI"
"2","20260920","MIA","SF","50029229","NFL_20260920_MIA@SF"
"2","20260920","IND","KC","50029230","NFL_20260920_IND@KC"
"2","20260921","NYG","LAR","50029212","NFL_20260921_NYG@LAR"
"3","20260924","ATL","GB","50029231","NFL_20260924_ATL@GB"
"3","20260927","BAL","DAL","50029160","NFL_20260927_BAL@DAL"
"3","20260927","LAC","BUF","50029232","NFL_20260927_LAC@BUF"
"3","20260927","CAR","CLE","50029233","NFL_20260927_CAR@CLE"
"3","20260927","NYJ","DET","50029234","NFL_20260927_NYJ@DET"
"3","20260927","HOU","IND","50029235","NFL_20260927_HOU@IND"
"3","20260927","NE","JAC","50029236","NFL_20260927_NE@JAC"
"3","20260927","KC","MIA","50029237","NFL_20260927_KC@MIA"
"3","20260927","TEN","NYG","50029238","NFL_20260927_TEN@NYG"
"3","20260927","CIN","PIT","50029239","NFL_20260927_CIN@PIT"
"3","20260927","SEA","WAS","50029240","NFL_20260927_SEA@WAS"
"3","20260927","ARI","SF","50029241","NFL_20260927_ARI@SF"
"3","20260927","MIN","TB","50029242","NFL_20260927_MIN@TB"
"3","20260927","LV","NO","50029243","NFL_20260927_LV@NO"
"3","20260927","LAR","DEN","50029244","NFL_20260927_LAR@DEN"
"3","20260928","PHI","CHI","50029245","NFL_20260928_PHI@CHI"
"4","20261001","PIT","CLE","50029246","NFL_20261001_PIT@CLE"
"4","20261004","IND","WAS","50029180","NFL_20261004_IND@WAS"
"4","20261004","NE","BUF","50029213","NFL_20261004_NE@BUF"
"4","20261004","TEN","BAL","50029247","NFL_20261004_TEN@BAL"
"4","20261004","NYJ","CHI","50029248","NFL_20261004_NYJ@CHI"
"4","20261004","JAC","CIN","50029249","NFL_20261004_JAC@CIN"
"4","20261004","DAL","HOU","50029250","NFL_20261004_DAL@HOU"
"4","20261004","ARI","NYG","50029251","NFL_20261004_ARI@NYG"
"4","20261004","LAR","PHI","50029252","NFL_20261004_LAR@PHI"
"4","20261004","GB","TB","50029253","NFL_20261004_GB@TB"
"4","20261004","MIA","MIN","50029254","NFL_20261004_MIA@MIN"
"4","20261004","KC","LV","50029255","NFL_20261004_KC@LV"
"4","20261004","DEN","SF","50029256","NFL_20261004_DEN@SF"
"4","20261004","LAC","SEA","50029257","NFL_20261004_LAC@SEA"
"4","20261004","DET","CAR","50029258","NFL_20261004_DET@CAR"
"4","20261005","ATL","NO","50029259","NFL_20261005_ATL@NO"
"5","20261008","TB","DAL","50029260","NFL_20261008_TB@DAL"
"5","20261011","PHI","JAC","50029181","NFL_20261011_PHI@JAC"
"5","20261011","CIN","MIA","50029261","NFL_20261011_CIN@MIA"
"5","20261011","LV","NE","50029262","NFL_20261011_LV@NE"
"5","20261011","MIN","NO","50029263","NFL_20261011_MIN@NO"
"5","20261011","CLE","NYJ","50029264","NFL_20261011_CLE@NYJ"
"5","20261011","IND","PIT","50029265","NFL_20261011_IND@PIT"
"5","20261011","HOU","TEN","50029266","NFL_20261011_HOU@TEN"
"5","20261011","NYG","WAS","50029267","NFL_20261011_NYG@WAS"
"5","20261011","DEN","LAC","50029268","NFL_20261011_DEN@LAC"
"5","20261011","DET","ARI","50029269","NFL_20261011_DET@ARI"
"5","20261011","CHI","GB","50029270","NFL_20261011_CHI@GB"
"5","20261011","SF","SEA","50029271","NFL_20261011_SF@SEA"
"5","20261011","BAL","ATL","50029272","NFL_20261011_BAL@ATL"
"5","20261012","BUF","LAR","50029273","NFL_20261012_BUF@LAR"
"6","20261015","SEA","DEN","50029274","NFL_20261015_SEA@DEN"
"6","20261018","HOU","JAC","50029182","NFL_20261018_HOU@JAC"
"6","20261018","CHI","ATL","50029275","NFL_20261018_CHI@ATL"
"6","20261018","BAL","CLE","50029276","NFL_20261018_BAL@CLE"
"6","20261018","TEN","IND","50029277","NFL_20261018_TEN@IND"
"6","20261018","NYJ","NE","50029278","NFL_20261018_NYJ@NE"
"6","20261018","NO","NYG","50029279","NFL_20261018_NO@NYG"
"6","20261018","CAR","PHI","50029280","NFL_20261018_CAR@PHI"
"6","20261018","PIT","TB","50029281","NFL_20261018_PIT@TB"
"6","20261018","ARI","LAR","50029282","NFL_20261018_ARI@LAR"
"6","20261018","LAC","KC","50029283","NFL_20261018_LAC@KC"
"6","20261018","BUF","LV","50029284","NFL_20261018_BUF@LV"
"6","20261018","DAL","GB","50029285","NFL_20261018_DAL@GB"
"6","20261019","WAS","SF","50029286","NFL_20261019_WAS@SF"
"7","20261022","NE","CHI","50029403","NFL_20261022_NE@CHI"
"7","20261025","PIT","NO","50029183","NFL_20261025_PIT@NO"
"7","20261025","SF","ATL","50029404","NFL_20261025_SF@ATL"
"7","20261025","CIN","BAL","50029405","NFL_20261025_CIN@BAL"
